"old_id","new_id"
"1_0015_10",1
"1_0015_100",2
"1_0015_101",3
"1_0015_11",4
"1_0015_110",5
"1_0015_111",6
"1_0015_120",7
"1_0015_121",8
"1_0015_130",9
"1_0015_131",10
"1_0015_140",11
"1_0015_141",12
"1_0015_150",13
"1_0015_151",14
"1_0015_160",15
"1_0015_161",16
"1_0015_170",17
"1_0015_171",18
"1_0015_180",19
"1_0015_181",20
"1_0015_190",21
"1_0015_191",22
"1_0015_20",23
"1_0015_200",24
"1_0015_201",25
"1_0015_21",26
"1_0015_210",27
"1_0015_211",28
"1_0015_220",29
"1_0015_221",30
"1_0015_230",31
"1_0015_231",32
"1_0015_240",33
"1_0015_241",34
"1_0015_250",35
"1_0015_251",36
"1_0015_260",37
"1_0015_261",38
"1_0015_270",39
"1_0015_271",40
"1_0015_280",41
"1_0015_281",42
"1_0015_290",43
"1_0015_291",44
"1_0015_30",45
"1_0015_300",46
"1_0015_301",47
"1_0015_31",48
"1_0015_310",49
"1_0015_311",50
"1_0015_320",51
"1_0015_321",52
"1_0015_330",53
"1_0015_331",54
"1_0015_340",55
"1_0015_341",56
"1_0015_350",57
"1_0015_351",58
"1_0015_360",59
"1_0015_361",60
"1_0015_370",61
"1_0015_371",62
"1_0015_380",63
"1_0015_381",64
"1_0015_390",65
"1_0015_391",66
"1_0015_40",67
"1_0015_400",68
"1_0015_401",69
"1_0015_41",70
"1_0015_410",71
"1_0015_411",72
"1_0015_420",73
"1_0015_421",74
"1_0015_430",75
"1_0015_431",76
"1_0015_440",77
"1_0015_441",78
"1_0015_450",79
"1_0015_451",80
"1_0015_460",81
"1_0015_461",82
"1_0015_470",83
"1_0015_471",84
"1_0015_480",85
"1_0015_481",86
"1_0015_490",87
"1_0015_491",88
"1_0015_50",89
"1_0015_500",90
"1_0015_501",91
"1_0015_51",92
"1_0015_60",93
"1_0015_61",94
"1_0015_70",95
"1_0015_71",96
"1_0015_80",97
"1_0015_81",98
"1_0015_90",99
"1_0015_91",100
"1_0016_10",101
"1_0016_100",102
"1_0016_110",103
"1_0016_20",104
"1_0016_30",105
"1_0016_40",106
"1_0016_50",107
"1_0016_60",108
"1_0016_70",109
"1_0016_80",110
"1_0016_90",111
"1_0030_10",112
"1_0030_100",113
"1_0030_110",114
"1_0030_120",115
"1_0030_130",116
"1_0030_140",117
"1_0030_150",118
"1_0030_160",119
"1_0030_170",120
"1_0030_180",121
"1_0030_190",122
"1_0030_20",123
"1_0030_200",124
"1_0030_210",125
"1_0030_220",126
"1_0030_230",127
"1_0030_240",128
"1_0030_250",129
"1_0030_260",130
"1_0030_270",131
"1_0030_272",132
"1_0030_273",133
"1_0030_280",134
"1_0030_290",135
"1_0030_30",136
"1_0030_300",137
"1_0030_310",138
"1_0030_320",139
"1_0030_321",140
"1_0030_332",141
"1_0030_333",142
"1_0030_340",143
"1_0030_350",144
"1_0030_360",145
"1_0030_370",146
"1_0030_380",147
"1_0030_390",148
"1_0030_40",149
"1_0030_400",150
"1_0030_410",151
"1_0030_420",152
"1_0030_430",153
"1_0030_440",154
"1_0030_450",155
"1_0030_460",156
"1_0030_462",157
"1_0030_463",158
"1_0030_470",159
"1_0030_480",160
"1_0030_490",161
"1_0030_50",162
"1_0030_500",163
"1_0030_510",164
"1_0030_520",165
"1_0030_530",166
"1_0030_540",167
"1_0030_550",168
"1_0030_552",169
"1_0030_553",170
"1_0030_554",171
"1_0030_60",172
"1_0030_70",173
"1_0030_80",174
"1_0030_90",175
"1_0034_10",176
"1_0034_100",177
"1_0034_110",178
"1_0034_120",179
"1_0034_130",180
"1_0034_150",181
"1_0034_160",182
"1_0034_170",183
"1_0034_180",184
"1_0034_190",185
"1_0034_20",186
"1_0034_200",187
"1_0034_210",188
"1_0034_220",189
"1_0034_230",190
"1_0034_240",191
"1_0034_250",192
"1_0034_260",193
"1_0034_270",194
"1_0034_280",195
"1_0034_30",196
"1_0034_40",197
"1_0034_50",198
"1_0034_60",199
"1_0034_70",200
"1_0034_80",201
"1_0034_90",202
"1_0094_100",203
"1_0094_110",204
"1_0094_120",205
"1_0094_130",206
"1_0094_14",207
"1_0094_140",208
"1_0094_144",209
"1_0094_145",210
"1_0094_15",211
"1_0094_150",212
"1_0094_160",213
"1_0094_170",214
"1_0094_180",215
"1_0094_190",216
"1_0094_20",217
"1_0094_200",218
"1_0094_210",219
"1_0094_220",220
"1_0094_230",221
"1_0094_240",222
"1_0094_250",223
"1_0094_251",224
"1_0094_260",225
"1_0094_270",226
"1_0094_280",227
"1_0094_290",228
"1_0094_30",229
"1_0094_300",230
"1_0094_310",231
"1_0094_320",232
"1_0094_330",233
"1_0094_340",234
"1_0094_350",235
"1_0094_40",236
"1_0094_50",237
"1_0094_60",238
"1_0094_70",239
"1_0094_80",240
"1_0094_90",241
"1_0097_10",242
"1_0097_100",243
"1_0097_110",244
"1_0097_120",245
"1_0097_130",246
"1_0097_140",247
"1_0097_150",248
"1_0097_160",249
"1_0097_170",250
"1_0097_180",251
"1_0097_184",252
"1_0097_185",253
"1_0097_190",254
"1_0097_191",255
"1_0097_20",256
"1_0097_30",257
"1_0097_40",258
"1_0097_50",259
"1_0097_60",260
"1_0097_70",261
"1_0097_80",262
"1_0097_90",263
"1_0116_10",264
"1_0116_100",265
"1_0116_110",266
"1_0116_120",267
"1_0116_130",268
"1_0116_140",269
"1_0116_150",270
"1_0116_160",271
"1_0116_170",272
"1_0116_180",273
"1_0116_190",274
"1_0116_20",275
"1_0116_200",276
"1_0116_210",277
"1_0116_220",278
"1_0116_230",279
"1_0116_240",280
"1_0116_244",281
"1_0116_248",282
"1_0116_250",283
"1_0116_260",284
"1_0116_270",285
"1_0116_280",286
"1_0116_290",287
"1_0116_30",288
"1_0116_300",289
"1_0116_310",290
"1_0116_320",291
"1_0116_330",292
"1_0116_340",293
"1_0116_350",294
"1_0116_360",295
"1_0116_370",296
"1_0116_380",297
"1_0116_390",298
"1_0116_40",299
"1_0116_400",300
"1_0116_410",301
"1_0116_420",302
"1_0116_430",303
"1_0116_440",304
"1_0116_450",305
"1_0116_460",306
"1_0116_470",307
"1_0116_480",308
"1_0116_490",309
"1_0116_50",310
"1_0116_60",311
"1_0116_70",312
"1_0116_80",313
"1_0116_90",314
"1_0134_10",315
"1_0134_100",316
"1_0134_110",317
"1_0134_120",318
"1_0134_130",319
"1_0134_140",320
"1_0134_150",321
"1_0134_20",322
"1_0134_30",323
"1_0134_40",324
"1_0134_50",325
"1_0134_60",326
"1_0134_70",327
"1_0134_80",328
"1_0134_90",329
"1_0194_10",330
"1_0194_100",331
"1_0194_110",332
"1_0194_120",333
"1_0194_130",334
"1_0194_140",335
"1_0194_150",336
"1_0194_160",337
"1_0194_170",338
"1_0194_180",339
"1_0194_190",340
"1_0194_20",341
"1_0194_200",342
"1_0194_210",343
"1_0194_220",344
"1_0194_230",345
"1_0194_240",346
"1_0194_260",347
"1_0194_270",348
"1_0194_280",349
"1_0194_290",350
"1_0194_30",351
"1_0194_300",352
"1_0194_310",353
"1_0194_320",354
"1_0194_330",355
"1_0194_340",356
"1_0194_40",357
"1_0194_50",358
"1_0194_60",359
"1_0194_70",360
"1_0194_80",361
"1_0194_90",362
"1_0233_10",363
"1_0233_100",364
"1_0233_110",365
"1_0233_120",366
"1_0233_130",367
"1_0233_140",368
"1_0233_150",369
"1_0233_160",370
"1_0233_170",371
"1_0233_180",372
"1_0233_190",373
"1_0233_20",374
"1_0233_30",375
"1_0233_40",376
"1_0233_50",377
"1_0233_60",378
"1_0233_70",379
"1_0233_80",380
"1_0233_90",381
"1_0234_10",382
"1_0234_100",383
"1_0234_110",384
"1_0234_120",385
"1_0234_130",386
"1_0234_140",387
"1_0234_150",388
"1_0234_160",389
"1_0234_170",390
"1_0234_180",391
"1_0234_190",392
"1_0234_20",393
"1_0234_200",394
"1_0234_210",395
"1_0234_220",396
"1_0234_230",397
"1_0234_240",398
"1_0234_250",399
"1_0234_260",400
"1_0234_270",401
"1_0234_280",402
"1_0234_290",403
"1_0234_30",404
"1_0234_300",405
"1_0234_310",406
"1_0234_320",407
"1_0234_330",408
"1_0234_340",409
"1_0234_350",410
"1_0234_360",411
"1_0234_370",412
"1_0234_380",413
"1_0234_390",414
"1_0234_40",415
"1_0234_400",416
"1_0234_410",417
"1_0234_420",418
"1_0234_430",419
"1_0234_440",420
"1_0234_450",421
"1_0234_460",422
"1_0234_470",423
"1_0234_480",424
"1_0234_490",425
"1_0234_50",426
"1_0234_500",427
"1_0234_510",428
"1_0234_520",429
"1_0234_530",430
"1_0234_540",431
"1_0234_550",432
"1_0234_560",433
"1_0234_570",434
"1_0234_60",435
"1_0234_70",436
"1_0234_80",437
"1_0234_90",438
"1_0394_10",439
"1_0394_100",440
"1_0394_110",441
"1_0394_120",442
"1_0394_130",443
"1_0394_140",444
"1_0394_150",445
"1_0394_160",446
"1_0394_170",447
"1_0394_180",448
"1_0394_190",449
"1_0394_20",450
"1_0394_200",451
"1_0394_210",452
"1_0394_220",453
"1_0394_230",454
"1_0394_240",455
"1_0394_250",456
"1_0394_260",457
"1_0394_270",458
"1_0394_280",459
"1_0394_284",460
"1_0394_285",461
"1_0394_30",462
"1_0394_40",463
"1_0394_50",464
"1_0394_60",465
"1_0394_70",466
"1_0394_80",467
"1_0394_90",468
"1_1001_10",469
"1_1001_20",470
"1_1002_10",471
"1_1002_20",472
"1_1003_10",473
"1_1003_20",474
"1_1003_30",475
"1_1003_40",476
"1_1003_50",477
"1_1004_10",478
"1_1004_20",479
"1_1004_30",480
"1_1004_40",481
"1_1004_50",482
"1_1004_60",483
"1_1004_70",484
"1_1004_80",485
"1_1005_10",486
"1_1005_100",487
"1_1005_110",488
"1_1005_120",489
"1_1005_130",490
"1_1005_140",491
"1_1005_150",492
"1_1005_160",493
"1_1005_170",494
